comp_score,length,similarity,count_hedgewords,author_flair,author_score,delta
72.39,,,,1,5,1
30.8,453,100,120,1,2,1
-55.99,607,100,180,7,10,1
-95.2,979,95.06758297,240,6,8,1
-96.52,2764,100,1020,7,8,1
-94.55,4648,99.2169031,1020,6,5,1
75.79,279,100,120,7,5,1
-92.5,2585,100,720,1,7,1
75.94,2431,100,660,1,2,1
-94.76,2187,94.46249909,420,1,26,1
90.01,497,97.55996043,180,2,2,1
-40.19,333,100,120,6,3,1
49.39,174,96.88752886,0,1,3,1
54.99,121,95.42062412,0,1,2,1
45.88,282,100,60,1,2,1
97.45,962,100,420,1,12,1
99.77,1667,98.81278415,420,1,2,1
-47.71,1117,100,470,3,13,1
75.04,2348,100,300,1,67,1
-96.7,1110,100,420,14,9,1
58.6,756,100,60,1,5,1
97.41,1601,98.44984837,420,6,3,1
-90.03,1007,100,180,1,5,1
-98.87,969,100,480,1,21,1
99.15,2305,100,1080,1,17,1
0,221,100,0,19,2,1
62.17,350,100,60,3,59,1
96.14,2845,100,1020,2,30,1
-61.34,1846,100,420,47,17,1
73.62,1145,100,420,1,96,1
97.43,1188,96.33798496,480,2,2,1
97.62,1710,100,360,8,263,1
-98.24,1075,100,300,1,13,1
89.89,1841,100,240,1,55,1
92.03,2981,100,720,1,1,1
96.74,1182,100,240,47,22,1
96.76,721,99.33373137,180,47,12,1
81.88,4369,100,1320,2,8,1
99.75,3254,100,660,6,2,1
97.3,1685,99.14121071,180,2,1,1
-86.32,572,100,0,19,14,1
93.18,2052,100,420,2,12,1
0,150,90.11979132,60,1,13,1
94.86,988,98.99939414,180,17,12,1
54.98,2210,99.02744984,720,1,11,1
98.3,1183,100,180,1,2,1
-62.49,980,100,300,3,56,1
88.18,255,94.69516113,60,3,13,1
99.95,4024,100,1080,2,17,1
99.43,945,100,360,1,5,1
93.14,1136,100,300,47,59,1
34.86,5523,100,1080,1,2,1
96,1463,97.81505934,645,3,3,1
-99.79,1717,100,360,6,25,1
99.24,1982,100,180,14,14,1
87.44,1371,100,840,47,65,1
-40.37,1136,100,180,7,5,1
95.13,619,100,120,1,14,1
36.46,1914,95.0051627,780,14,1,1
56.47,879,100,60,1,22,1
97.67,1099,100,355,1,7,1
35.7,642,97.9729238,180,1,3,1
-36.12,1608,100,360,1,36,1
38.18,344,96.38761232,120,19,10,1
86.77,293,100,60,1,14,1
-79.63,701,100,240,8,3,1
77.53,551,100,60,1,14,1
-98.88,2465,100,480,3,4,1
-59.63,3055,100,900,14,3,1
98.5,1352,100,120,13,125,1
55.83,1764,100,240,4,1,1
-91.25,1582,100,420,4,2,1
88.07,608,100,120,1,15,1
98.58,1827,98.00640858,360,17,3,1
85.67,1966,100,540,1,3,1
77.62,884,98.42241625,240,27,2,1
53.19,1424,100,240,27,7,1
96.44,2860,100,780,2,16,1
65.2,769,100,180,7,18,1
94.62,1396,98.07025143,660,1,1,1
-96.9,875,100,180,1,84,1
-99.83,4937,97.18216152,1560,13,4,1
65.29,927,100,300,14,6,1
-95.98,1296,100,120,4,2,1
99.94,8276,99.23073783,1740,3,2,1
93.19,604,100,120,19,5,1
95.67,1060,98.15245402,480,2,3,1
0,144,100,0,4,5,1
-95.22,1036,100,360,8,2,1
82.71,448,100,0,2,15,1
-85.72,1020,97.28759591,420,1,3,1
89.8,1792,100,302,2,16,1
59.29,945,100,120,1,5,1
97.55,1388,100,60,27,2,1
98.5,890,100,360,1,4,1
93.18,1256,100,540,1,1,1
95.9,522,96.73520002,60,4,3,1
-98.94,3290,100,420,1,9,1
-96.33,2143,100,300,19,9,1
95.6,1841,97.80963287,300,2,2,1
-93.18,788,100,300,3,1,1
98.07,2853,100,1140,1,9,1
96.74,1049,100,480,14,62,1
99.73,1485,100,120,47,7,1
93.8,647,98.27215003,420,47,4,1
99.3,709,98.1052215,60,2,1,1
85.39,1319,98.59165662,120,4,0,1
-26.86,272,100,0,3,37,1
51.87,1126,100,300,5,59,1
99.43,6010,98.26450322,1440,5,3,1
56.99,763,100,480,1,8,1
-91.38,521,100,120,2,10,1
-88.49,1416,97.17685498,300,66,2,1
-89.95,2384,100,600,1,1,1
-87.7,2047,100,240,8,57,1
94.64,781,100,180,1,3,1
-69.58,2239,97.88129156,240,4,2,1
98.14,1920,100,300,8,12,1
-99.13,1944,98.78877287,600,14,6,1
-99.34,1977,100,420,19,17,1
-73.23,4414,100,1260,2,57,1
-49.64,2121,100,660,66,1,1
97.1,2081,100,360,1,6,1
-59.17,747,97.15315961,120,1,5,1
75.79,2836,100,660,2,18,1
-86.94,1685,97.21259205,240,17,2,1
69.15,1436,100,595,17,2,1
98.44,1487,98.73028034,540,1,2,1
34.6,565,100,60,2,6,1
-85.95,883,100,120,1,3,1
-89.02,509,100,240,1,4,1
95.7,3200,100,1300,2,23,1
-95.54,2743,100,900,14,18,1
93.52,2399,97.78767607,660,2,2,1
99.26,7111,100,842,1,22,1
86.23,409,100,60,1,1,1
-58.26,516,97.49830686,300,19,2,1
-97.92,830,100,360,1,5,1
-89.7,1790,97.46644162,300,1,9,1
-85,1212,100,360,2,12,1
98.24,2366,100,1080,66,6,1
97.64,1234,100,120,1,30,1
20.23,179,100,0,1,13,1
98.22,851,96.92827629,300,1,23,1
87.79,1187,100,350,1,3,1
98.1,504,100,240,7,7,1
85.23,1361,96.97506911,240,2,4,1
99.35,6143,98.50053651,1860,5,2,1
-13.66,2630,100,840,14,15,1
99.42,4591,100,780,5,62,1
99.85,2529,98.63622984,900,2,10,1
-77.35,723,100,360,8,21,1
95.85,1416,100,420,3,4,1
89.19,1896,96.57345138,480,8,2,1
80.67,1360,100,180,5,8,1
-98.34,1775,100,420,2,8,1
-66.55,685,98.26006207,295,6,2,1
67.98,693,98.24153444,60,27,1,1
99.69,5750,100,1740,13,32,1
88.87,4055,97.81432603,660,2,15,1
-17.88,994,98.36234745,300,19,13,1
99.51,4051,100,900,2,19,1
98.65,1871,99.23318214,720,13,2,1
91.95,1006,99.06830899,300,13,1,1
-82.71,672,100,180,4,15,1
-91.88,494,100,180,5,49,1
-97.55,433,100,0,7,13,1
-82.08,2836,100,780,66,3,1
-96.56,492,100,300,1,34,1
-99.9,4620,100,900,1,212,1
-71.84,216,88.4914258,180,1,9,1
-64.86,177,95.71043429,0,2,40,1
98.61,1626,100,600,20,4,1
-83.54,2954,100,600,1,10,1
43.1,106,100,0,1,57,1
-89.04,1005,100,480,31,48,1
-77.14,735,100,360,1,5,1
-85.17,880,100,180,3,2,1
-97.05,1629,100,300,6,19,1
72.9,854,100,240,1,3,1
74.3,183,100,0,7,1,1
-66.3,2704,100,900,8,19,1
93.29,3186,100,900,3,4,1
-57.09,373,100,60,3,324,1
20.6,2692,100,480,1,39,1
-10.53,934,100,420,8,50,1
97.45,2797,100,1020,2,8,1
-57.25,2322,98.85081063,960,2,3,1
-40.31,1413,100,420,2,6,1
99.22,2232,100,1140,8,52,1
-98.78,1489,100,360,66,6,1
98.61,4708,100,1920,6,34,1
94.93,1082,100,300,66,0,1
-97.59,2635,100,360,1,8,1
99.87,1494,100,540,24,29,1
-27.32,592,100,240,27,10,1
91.09,654,100,120,5,3,1
98.49,1735,100,600,66,1,1
-47.21,3358,100,720,4,7,1
99.6,2053,98.79277727,840,24,1,1
-99.35,937,100,420,1,9,1
98.95,1008,100,420,1,3,1
-99.81,975,100,120,3,51,1
-97.68,867,96.94757423,300,2,13,1
-98.83,1127,97.56643196,180,3,3,1
58.44,1072,100,180,2,1,1
97.54,1267,100,420,1,2,1
98.76,2152,100,720,3,100,1
97.31,1375,100,415,2,3,1
93.55,2334,100,660,66,3,1
96.5,2829,97.66204835,360,17,1,1
-94.75,1701,100,300,66,5,1
1.86,307,100,60,47,13,1
-96.07,1354,100,600,66,12,1
-96,3410,100,720,1,2,1
-97.7,934,100,360,18,21,1
0,67,100,60,8,3,1
-98.59,1525,100,300,3,13,1
47.31,714,100,180,1,1,1
-96.29,1066,100,420,31,7,1
-91.86,318,100,180,8,2,1
-95.28,2884,100,540,11,76,1
-96,1411,100,360,1,76,1
57.19,819,100,540,1,1,1
36.28,1225,100,420,3,90,1
82.83,2725,100,960,47,177,1
-89.13,836,98.3431332,360,1,34,1
-99.47,2092,99.41359048,660,2,28,1
53.29,414,100,428,21,3,1
93.46,3974,100,480,1,3,1
0,280,100,120,18,7,1
-99.81,4092,100,540,2,42,1
-95.47,480,97.13293564,120,1,2,1
-98.06,1364,100,360,3,20,1
76.99,839,100,180,1,3,1
-78.86,481,100,60,7,2,1
98.31,1190,100,120,3,71,1
96.61,2396,98.54425557,660,1,7,1
91.12,1582,98.7285218,480,1,6,1
-27.4,4626,99.1076511,1560,1,5,1
93.09,1698,100,660,1,9,1
-97.2,3262,95.4784729,300,1,21,1
99.54,5936,100,2160,3,5,1
-97.19,712,100,60,24,7,1
0,72,100,0,2,1,1
2.58,205,100,60,7,1,1
57.17,1362,100,240,1,7,1
45.88,203,100,0,2,1,1
-88.07,1138,100,600,7,4,1
83.14,1325,100,480,1,5,1
91.45,896,100,180,1,6,1
-13.44,2654,100,900,1,6,1
99.51,1986,100,240,27,6,1
-97.94,1530,100,540,1,4,1
-98.93,1338,100,240,8,116,1
-99.21,2406,100,300,13,26,1
-80.53,2422,98.48075933,420,2,4,1
96.36,1609,100,120,13,5,1
97.99,959,100,300,2,6,1
94.55,528,100,120,19,4,1
-96.75,1695,100,240,1,12,1
-96.55,2374,98.62784355,540,5,6,1
94.98,3684,100,720,1,21,1
-99.98,6710,100,1020,2,13,1
99.7,5053,100,944,10,2,1
72.01,1435,98.30902406,720,1,2,1
-48.65,626,100,60,1,13,1
-64.86,1054,100,540,1,3,1
-34.5,1875,100,600,12,26,1
33.82,708,98.59452274,240,47,4,1
85.17,473,100,120,8,3,1
-33.84,139,100,0,11,10,1
-91.36,767,100,60,1,1,1
-20.34,351,100,60,1,1,1
34,268,100,120,27,3,1
-99.79,3035,100,720,3,15,1
-87.85,732,100,60,4,2,1
92.38,736,97.56747775,240,3,3,1
-40.19,536,95.937646,120,1,1,1
-90.82,1237,98.52611811,240,10,1,1
-36.12,999,100,360,5,39,1
59.36,2029,100,360,1,2,1
-99.2,2281,100,480,47,20,1
-92.99,2696,100,300,1,38,1
-81.26,623,100,180,2,1,1
-84.85,280,100,120,1,2,1
-82.71,811,100,360,1,5,1
-95.87,1300,100,420,117,13,1
41.95,106,100,0,8,2,1
-97.16,708,95.18654062,360,24,3,1
76.5,1566,95.74462706,420,3,1,1
97.57,1315,100,300,1,15,1
-49.59,1318,98.78097177,300,3,12,1
99.92,7591,100,2280,3,82,1
94.04,1002,100,0,19,64,1
-87.23,938,100,360,11,1,1
-99.52,2311,100,1140,3,1,1
-82.57,383,100,60,11,1,1
-72.45,1889,97.00410676,720,1,2,1
19.79,174,100,0,1,1,0
-93.6,2168,100,540,2,2,0
-5.61,1608,100,300,5,2,0
97.61,1932,100,420,58,1,0
36.12,40,100,0,9,2,0
74.72,518,100,0,1,3,0
-71.78,223,100,360,6,2,0
29.6,828,100,120,78,1,0
93.92,630,100,300,29,3,0
0,79,100,60,88,6,0
71.28,393,100,60,45,1,0
-38.18,190,100,0,2,2,0
-97.82,189,100,180,1,0,0
-69.08,104,100,0,1,1,0
-96.77,394,100,180,1,-5,0
-49.56,956,100,360,14,2,0
99.63,2449,100,120,1,1,0
12.93,312,100,0,5,3,0
-65.13,710,100,180,5,1,0
34,602,100,0,3,2,0
-60.2,641,100,300,4,2,0
-29.6,294,100,120,9,0,0
0,35,100,60,1,1,0
93.95,2170,100,540,3,1,0
0,290,100,0,1,7,0
0,84,100,60,17,1,0
75.14,269,100,180,1,2,0
-15.31,134,100,0,1,-2,0
95.62,1286,100,240,1,17,0
51.01,929,100,120,2,1,0
29.6,841,100,120,10,1,0
-32.91,105,100,60,1,2,0
-99.59,2205,100,300,30,21,0
29.6,417,100,180,42,3,0
35.59,1053,100,120,6,5,0
31.29,1275,100,540,66,1,0
82.01,640,100,180,2,62,0
62.4,117,100,60,1,7,0
19.01,148,100,60,4,3,0
41.73,37,100,0,1,4,0
92.92,1169,100,180,9,1,0
86.87,775,100,0,60,2,0
-99.06,754,100,120,1,1,0
69.18,424,100,120,1,16,0
-77.17,289,100,180,2,1,0
72.58,92,100,180,4,1,0
49.27,164,100,120,29,10,0
71.14,364,100,0,1,1,0
-74.12,1258,100,240,10,1,0
45.88,350,100,0,4,2,0
-52.67,53,100,0,10,1,0
-6.34,191,100,60,18,8,0
25,522,100,60,3,2,0
-7.72,71,100,0,24,3,0
39.39,633,100,60,3,4,0
49.39,13,100,0,8,1,0
69.56,273,100,0,24,2,0
42.15,255,100,0,1,9,0
-91.73,257,100,120,1,16,0
-86.26,1753,100,300,2,5,0
82.68,55,100,60,7,1,0
98.62,959,100,120,1,15,0
-55.88,129,100,0,1,1,0
28.33,741,100,120,2,3,0
-12.8,83,100,0,2,1,0
0,145,100,60,49,1,0
-79.1,411,100,60,2,2,0
0,45,100,60,3,1,0
82.01,464,100,180,1,16,0
-97.88,1744,100,300,11,6,0
-40.19,178,100,0,1,1,0
-87.27,274,100,0,5,1,0
-70.96,192,100,180,7,1,0
-15.31,210,100,60,15,2,0
17.79,128,100,60,1,8,0
-96.64,442,100,0,14,1,0
-22.63,63,100,0,1,1,0
-94.11,1087,100,360,9,2,0
94.85,874,100,180,11,3,0
0,127,100,0,4,1,0
99.42,2955,100,660,11,2,0
-54.23,78,100,60,3,1,0
59.94,450,100,120,1,-1,0
0,28,100,0,5,1,0
90.72,271,100,60,3,1,0
-93.94,613,100,240,11,3,0
61.14,483,100,120,60,1,0
-58.6,258,100,60,7,2,0
95.49,1100,100,355,7,1,0
-29.15,399,100,120,1,2,0
26.77,437,100,60,6,2,0
64.92,1423,100,300,7,7,0
-89.79,172,100,120,3,3,0
-83.68,378,100,0,16,1,0
-93.64,350,100,240,2,1,0
-72.31,752,100,60,5,2,0
-94.13,416,100,120,24,1,0
0,52,100,55,1,1,0
0,48,100,0,6,6,0
-56.32,153,100,120,5,1,0
-5.16,209,100,115,1,1,0
54.23,482,100,60,1,6,0
0,41,100,0,1,-1,0
99.09,1615,100,480,1,1,0
36.12,168,100,0,14,1,0
-76.5,91,100,0,88,1,0
-88.1,2687,100,1135,18,3,0
75.06,28,100,0,1,1,0
36.12,127,100,60,3,5,0
0,146,100,60,13,1,0
68.04,579,100,240,7,3,0
-96.81,663,100,180,1,1,0
-51.27,314,100,60,42,1,0
61.24,202,100,180,3,1,0
63.69,76,100,0,6,5,0
-78.76,151,100,0,20,1,0
-58.59,76,100,0,1,-4,0
-49.39,38,100,60,60,3,0
-69.56,79,100,0,2,-3,0
-69.45,493,100,0,15,1,0
0,93,100,0,1,2,0
49.02,61,100,0,2,5,0
0,76,100,0,12,0,0
61.24,233,100,60,1,3,0
-29.33,1362,100,900,7,2,0
-65.97,119,100,120,1,1,0
-99.77,1151,100,180,9,1,0
60.65,158,100,115,31,1,0
-87.79,429,100,120,5,14,0
61.06,387,100,60,88,1,0
-98.58,2020,100,360,76,9,0
-36.12,201,100,240,3,-3,0
-67.92,129,100,0,2,0,0
-27.32,270,100,120,17,1,0
-39.19,1398,100,240,27,9,0
-99.19,3459,100,1080,9,1,0
-22.63,275,100,115,1,1,0
22.16,549,100,0,1,1,0
54.23,237,100,0,117,1,0
-97.83,1041,100,60,2,10,0
-29.25,377,100,60,17,1,0
0,28,100,0,10,0,0
95.88,736,100,240,78,5,0
70.65,546,100,60,2,0,0
-97.4,2356,100,600,2,5,0
59.67,122,100,0,1,0,0
-89.8,389,100,180,27,3,0
44.16,755,100,60,2,1,0
29.6,191,100,0,1,3,0
-97.32,637,100,60,19,1,0
-80.42,544,100,180,1,1,0
29.51,130,100,0,1,-3,0
80.74,403,100,120,1,1,0
-36.85,813,100,180,3,20,0
24.06,458,100,60,5,18,0
61.24,104,100,0,10,3,0
-98.68,464,100,0,15,2,0
27.32,407,100,180,5,1,0
-97.35,2004,100,420,11,2,0
-78.74,523,100,120,47,2,0
-96.54,1484,100,240,7,5,0
-10.27,134,100,60,2,-4,0
-91.41,571,100,240,88,3,0
-45.88,498,100,345,5,2,0
-59.94,137,100,0,17,-4,0
-82.71,518,100,180,1,28,0
-45.79,697,100,120,1,2,0
-82.12,663,100,120,1,1,0
-20.29,441,100,0,3,3,0
5.52,561,100,180,3,2,0
-40.19,195,100,120,24,2,0
92.07,1450,100,420,5,2,0
-47.71,2366,100,600,5,1,0
56.21,96,100,60,2,1,0
-64.5,560,100,60,17,1,0
-94.93,374,100,120,1,1,0
-97.05,886,100,240,8,2,0
-44.49,446,100,180,21,1,0
-35.06,131,100,0,12,3,0
14.06,498,100,0,1,3,0
-96.09,1234,100,540,6,11,0
84.49,2342,100,780,4,4,0
0,265,100,60,27,11,0
0,90,100,60,3,1,0
8.78,1399,100,240,3,1,0
-76.32,274,100,60,2,1,0
-32.19,144,100,0,2,1,0
58.59,183,100,60,7,9,0
-20.23,101,100,0,4,0,0
36.12,8,100,0,1,5,0
0,90,100,120,8,38,0
-5,242,100,180,1,1,0
-49.39,75,100,0,1,0,0
97.11,1492,100,360,5,3,0
-50.37,538,100,60,15,1,0
-89.79,226,100,0,11,13,0
17.79,19,100,0,2,1,0
-90.72,325,100,300,10,2,0
89.09,953,100,120,4,0,0
93.7,1864,100,1200,6,52,0
19.06,159,100,0,1,-1,0
-89.92,174,100,240,30,2,0
-97.16,920,100,240,1,17,0
-96.33,596,100,540,11,1,0
91.53,1117,100,180,1,1,0
71.92,503,100,240,16,1,0
79.36,368,100,0,11,1,0
-83,117,100,60,3,1,0
-27.32,49,100,0,1,1,0
36.12,221,100,0,2,12,0
-88.6,630,100,238,2,1,0
79.1,428,100,60,52,5,0
-91.95,721,100,180,40,23,0
-62.79,486,100,180,4,6,0
16.8,609,100,60,1,1,0
88.6,754,100,360,2,2,0
59.94,133,100,60,44,4,0
58.59,251,100,0,9,15,0
-96.17,1566,100,420,4,17,0
-27.55,101,100,60,16,3,0
92.09,1126,100,600,2,0,0
-20.23,250,100,0,24,39,0
97.96,1071,100,300,88,1,0
46.78,393,100,60,1,1,0
-77.17,63,100,60,24,1,0
-77.08,662,100,120,47,1,0
36.12,500,100,120,1,5,0
-98.72,422,100,0,14,2,0
34,331,100,230,2,2,0
39.19,538,100,0,24,5,0
15.31,929,100,120,15,12,0
40.19,173,100,180,2,1,0
79.31,367,100,120,2,1,0
95.2,214,100,0,29,3,0
76.84,316,100,180,3,1,0
80.2,254,100,0,7,2,0
-54.23,1196,100,295,31,1,0
90.8,1257,100,300,4,1,0
-26.88,856,100,180,5,11,0
77.17,110,100,0,27,1,0
-73.51,286,100,60,1,1,0
-40.43,329,100,60,2,2,0
97.25,2103,100,360,1,4,0
-54.55,483,100,180,1,1,0
-80.06,498,100,180,1,32,0
-10.27,175,100,120,1,1,0
0,11,100,0,11,1,0
-81.51,257,100,0,1,2,0
64.86,914,100,180,3,7,0
89.57,1317,100,420,2,3,0
-52.55,184,100,0,1,0,0
95.78,1385,100,180,2,1,0
0,95,100,0,6,2,0
19.27,1461,100,180,15,1,0
93.28,923,100,180,59,1,0
95.2,1357,100,180,1,1,0
21.44,95,100,0,1,1,0
-15.31,352,100,60,49,3,0
97.12,863,100,420,1,2,0
0,123,100,60,7,1,0
43.85,487,100,120,5,2,0
97.92,1109,100,240,17,2,0
-19.48,930,100,360,2,1,0
-34.99,425,100,120,16,6,0
-72.69,56,100,0,4,0,0
-14.19,404,100,120,117,1,0
50.23,93,100,0,24,1,0
75.09,387,100,60,17,2,0
82.52,826,100,240,5,15,0
7.72,165,100,0,6,1,0
97.74,1424,100,240,14,3,0
99.38,1026,100,240,2,0,0
16.64,417,100,120,14,2,0
69.7,419,100,60,66,24,0
-79.67,109,100,0,2,2,0
-59.83,287,100,60,1,1,0
40.19,87,100,0,14,5,0
0,97,100,120,1,2,0
99.4,3446,100,840,1,4,0
98.36,1488,100,480,42,1,0
-72.99,617,100,120,2,2,0
99.1,2188,100,300,38,3,0
73.56,371,100,60,2,1,0
77.06,336,100,60,19,2,0
71.84,85,100,0,1,4,0
-88.58,614,100,240,2,2,0
69.96,147,100,0,4,5,0
-19.06,355,100,60,3,9,0
72.39,168,100,60,12,6,0
70.03,341,100,60,47,1,0
-47.67,101,100,0,3,27,0
-22.44,119,100,60,3,8,0
49.39,144,100,60,10,0,0
-23.82,926,100,180,1,17,0
-98.73,1165,100,480,12,2,0
0,24,100,0,1,2,0
87.75,986,100,480,1,4,0
-99.03,1614,100,300,6,11,0
-68.91,590,100,120,3,4,0
-36.32,700,100,60,1,1,0
